tax_year,recipient_name,city,state,total_amount_usd,n_grants
2024,NCH CENTER PHILANTHROPY,NAPLES,FL,1000000.0,1
2024,UNIVERSITY HOSPITALS,BEACHWOOD,OH,550000.0,2
2024,NAPLES CHILDREN & EDUCATION FOUNDATION,NAPLES,FL,100000.0,1
2024,AKSHAYA PATRA,STRONGSVILLE,OH,50000.0,1
2024,GREATER CLEVELAND FOOD BANK,CLEVELAND,OH,50000.0,1
2024,UH RAINBOW BABIES & CHILDREN'S HOSPITAL,CLEVELAND,OH,30000.0,1
2024,FORD'S THEATRE SOCIETY,WASHINGTON,DC,30000.0,1
2024,THE RIVER SCHOOL,WASHINGTON,DC,25000.0,1
2024,AKSHAYA PATRA,STONEHAM,MA,25000.0,1
2024,LAKE CO FREE CLINIC,PAINESVILLE,OH,25000.0,1
2024,THE SHELTER,BALTIMORE,MD,25000.0,1
2024,POTOMAC SCHOOL,MCLEAN,VA,20000.0,1
2024,GEORGETOWN UNIVERSITY,WASHINGTON,DC,15000.0,1
2024,ROCK-N-ROLL HALL OF FAME,CLEVELAND,OH,12500.0,1
2024,EKAL VIDYALAYA FOUNDATION,HOUSTON,TX,10000.0,1
2024,AIPNO - MEDICAL YATRA,BROADVIEW HEIGHTS,OH,10000.0,1
2024,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,10000.0,1
2024,HAWKEN SCHOOL,CHESTERLAND,OH,10000.0,1
2024,GDAS CANCER CLINIC,RICHARDSON,TX,10000.0,1
2024,RONALD MCDONALD HOUSE CHARITIES OF NE OHIO,CLEVELAND,OH,10000.0,1
2024,GREATER CLEVELAND SQUASH,CLEVELAND,OH,6000.0,1
2024,UNIVERSITY SCHOOL,SHAKER HEIGHTS,OH,5000.0,1
2024,CLEVELAND MUSEUM OF ART,CLEVELAND,OH,5000.0,1
2024,COLUMBIA UNIVERSITY,NEW YORK,NY,5000.0,1
2024,EVAN'S SCHOLARSHIP FOUNDATION,GOLF,IL,5000.0,1
2024,FEDERATION OF INDIA COMMUNITY ASSC OF NE OHIO,SOLON,OH,5000.0,1
2024,FOLDS OF HONOR,OWASSO,OK,5000.0,1
2024,HEALTH NETWORK FOUNDATION,CLEVELAND,OH,5000.0,1
2024,IMMOKOLEE FOUNDATION,IMMOKALEE,FL,5000.0,1
2024,THE KENNEDY CENTER,WASHINGTON,DC,4000.0,1
2024,BEACHWOOD BOARD OF EDUCATION,CLEVELAND,OH,3500.0,1
2024,MAKE-A-WISH FOUNDATION,PHOENIX,AZ,2500.0,1
2024,HUNTING VALLEY FOUNDATION,HUNTING VALLEY,OH,2500.0,1
2024,HANDS TOGETHER,SPRINGFIELD,MA,2500.0,1
2023,UNIVERSITY HOSPITALS,BEACHWOOD,OH,556000.0,3
2023,UNIVERSITY HOSPITALS,CLEVELAND,OH,250000.0,1
2023,LAKE CO FREE CLINIC,PAINESVILLE,OH,100000.0,1
2023,NCH HEALTHCARE SYSTEM,NAPLES,FL,100000.0,1
2023,GREATER CLEVELAND FOOD BANK,CLEVELAND,OH,52500.0,2
2023,NAPLES CHILDREN & EDUCATION FOUNDATION,NAPLES,FL,48400.0,1
2023,FORD'S THEATRE SOCIETY,WASHINGTON,DC,30000.0,2
2023,AKSHAYA PATRA,STRONGSVILLE,OH,25000.0,1
2023,FIRST TEE-CLEVELAND,NEWBURGH HEIGHTS,OH,25000.0,1
2023,POTOMAC SCHOOL,MCLEAN,VA,20000.0,1
2023,GEORGETOWN UNIVERSITY,WASHINGTON,DC,15000.0,1
2023,AIPNO - MEDICAL YATRA,BROADVIEW HEIGHTS,OH,15000.0,2
2023,AKSHAYA PATRA,STONEHAM,MA,15000.0,1
2023,ROCK-N-ROLL HALL OF FAME,CLEVELAND,OH,12500.0,1
2023,JOHN HOPKINS UNIVERSITY,BALTIMORE,MD,10000.0,1
2023,GDAS CANCER CLINIC,RICHARDSON,TX,10000.0,1
2023,GREATER CLEVELAND SPORT COMM (PAN AM GAMES),CLEVELAND,OH,10000.0,1
2023,HAWKEN SCHOOL,CHESTERLAND,OH,10000.0,1
2023,NCH CENTER PHILANTHROPY,NAPLES,FL,10000.0,1
2023,UH RAINBOW BABIES & CHILDREN'S HOSPITAL,CLEVELAND,OH,10000.0,1
2023,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,10000.0,1
2023,NAPLES BOTANICAL GARDEN,NAPLES,FL,9000.0,2
2023,HANDS TOGETHER,SPRINGFIELD,MA,5000.0,1
2023,EVAN'S SCHOLARSHIP FOUNDATION,GOLF,IL,5000.0,1
2023,COLUMBIA UNIVERSITY,NEW YORK,NY,5000.0,1
2023,RONALD MCDONALD HOUSE CHARITIES OF NE OHIO,CLEVELAND,OH,5000.0,1
2023,THE RIVER SCHOOL,WASHINGTON,DC,5000.0,1
2023,THE SHELTER,BALTIMORE,MD,5000.0,1
2023,THE TURN,NORTH OLMSTED,OH,5000.0,1
2023,UNIVERSITY SCHOOL,SHAKER HEIGHTS,OH,5000.0,1
2023,CLEVELAND MUSEUM OF ART,CLEVELAND,OH,5000.0,1
2023,FEDERATION OF INDIA COMMUNITY ASSC OF NE OHIO,SOLON,OH,5000.0,1
2023,MAKE-A-WISH FOUNDATION,PHOENIX,AZ,2500.0,1
2023,FOLDS OF HONOR,OWASSO,OK,2500.0,1
2023,HEALTH NETWORK FOUNDATION,CLEVELAND,OH,2500.0,1
2023,NAPLES CHILDREN & EDUCATION FOUNDATION (GOLF 4 KIDS),NAPLES,FL,2500.0,1
2023,CLEVELAND FOUNDATION,CLEVELAND,OH,2500.0,1
2023,HUNTING VALLEY FOUNDATION,HUNTING VALLEY,OH,2500.0,1
2023,THE KENNEDY CENTER,WASHINGTON,DC,1800.0,1
2023,FLORIDA SHERIFFS ASSOCIATION,TALLAHASSEE,FL,1000.0,1
2022,UNIVERSITY HOSPITALS,BEACHWOOD,OH,550000.0,2
2022,NAPLES CHILDREN & EDUCATION FOUNDATION,NAPLES,FL,105000.0,2
2022,GREATER CLEVELAND FOOD BANK,CLEVELAND,OH,52500.0,2
2022,FRIENDS OF BREAKTHROUGH SCHOOLS,CLEVELAND,OH,50000.0,1
2022,FORD'S THEATRE SOCIETY,WASHINGTON,DC,30000.0,2
2022,UNIVERSITY SCHOOL,SHAKER HEIGHTS,OH,20000.0,1
2022,GEORGETOWN UNIVERSITY,WASHINGTON,DC,15000.0,1
2022,ROCK-N-ROLL HALL OF FAME,CLEVELAND,OH,12500.0,1
2022,JOHN HOPKINS UNIVERSITY,BALTIMORE,MD,10000.0,1
2022,UH RAINBOW BABIES & CHILDREN'S HOSPITAL,CLEVELAND,OH,10000.0,1
2022,NCH CENTER PHILANTHROPY,NAPLES,FL,10000.0,1
2022,NCH PHILANTHROPIC CENTER,NAPLES,FL,10000.0,1
2022,EVAN'S SCHOLARSHIP FOUNDATION,GOLF,IL,10000.0,1
2022,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,10000.0,1
2022,GDAS CANCER CLINIC,RICHARDSON,TX,10000.0,1
2022,UNITED WAY OF GREATER CLEVELAND,CLEVELAND,OH,10000.0,1
2022,AKSHAYA PATRA,STONEHAM,MA,10000.0,1
2022,HAWKEN SCHOOL,CHESTERLAND,OH,7500.0,1
2022,MAKE-A-WISH FOUNDATION,PHOENIX,AZ,5000.0,1
2022,AMERICAN CANCER SOCIETY,CLEVELAND,OH,5000.0,1
2022,BOOTS IN THE SAND,NAPLES,FL,5000.0,1
2022,CLEVELAND MUSEUM OF ART,CLEVELAND,OH,5000.0,1
2022,COLUMBIA UNIVERSITY,NEW YORK,NY,5000.0,1
2022,FEDERATION OF INDIA COMMUNITY ASSC OF NE OHIO,SOLON,OH,5000.0,1
2022,NEIGHBORHOOD HEALTH CLINIC,CLEVELAND,OH,5000.0,1
2022,RONALD MCDONALD HOUSE CHARITIES OF NE OHIO,CLEVELAND,OH,5000.0,1
